ticket,magic,symbol,direction,volume,open_price,close_price,open_time,close_time,profit,commission,swap,comment
289174664,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,-7.75,-0.03,0.00,
289174666,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,2.22,-0.03,0.00,
289174667,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,-1.84,-0.03,0.00,
289174675,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,3.09,-0.03,0.00,
289174678,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,2.77,-0.03,0.00,
289174683,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,3.55,-0.03,0.00,
289174687,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,-8.39,-0.03,0.00,
289174689,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,-0.30,-0.03,0.00,
289174697,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,5.38,-0.03,0.00,
289174700,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,-8.00,-0.03,0.00,
289174702,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,6.54,-0.03,0.00,
289174706,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,2.21,-0.03,0.00,
289174715,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,3.33,-0.03,0.00,
289174720,0,XAUUSD.pc,BUY,0.01,4342.73000,4342.73000,2026.06.15 16:02:37,2026.06.15 16:02:37,5.23,-0.03,0.00,
